"","X.1","X","SubjectID","TrialNumber","StartingPositionIndex","TimeOut","TimeOutStr","TimeStampBegin","TimeStampEnd","TrialDuration","TriggerPressedFreq","CancelPressedFreq","ParticipantPosition_x","ParticipantRotation_x","ParticipantRotation_y","ParticipantRotation_z","ParticipantPosition_y","ParticipantPosition_z","TargetHousePos_x","TargetHouseRot_x","TargetHouseDir_x","GhostHouseInitPos_x","GhostHouseInitRot_x","TGhostHouseInitDir_x","GhostHouseFinalPos_x","GhostHouseFinalRot_x","TGhostHouseFinalDir_x","PointerPosition_x","PointerRotation_x","PointerDirection_x","PointerDirection_y","PointerDirection_z","PointerRotation_y","PointerRotation_z","PointerPosition_y","PointerPosition_z","GhostHouseFinalDir_y","GhostHouseFinalDir_z","GhostHouseFinalRot_y","GhostHouseFinalRot_z","GhostHouseFinalPos_y","GhostHouseFinalPos_z","GhostHouseInitDir_y","GhostHouseInitDir_z","GhostHouseInitRot_y","GhostHouseInitRot_z","GhostHouseInitPos_y","GhostHouseInitPos_z","TargetHouseDir_y","TargetHouseDir_z","TargetHouseRot_y","TargetHouseRot_z","TargetHousePos_y","TargetHousePos_z","TargetHouseIndex","TargetHouseName","GhostHouseName","TargetHouseID","GhostHouseRotDifferenceToTargetHouse","ParticipantDistanceToTargetHouse","ParticipantDistanceToGhostHouse","GhostHouseDistanceToTargetHouse","PointedDirections","Condition","Task","RecalculatedAngle","SignedAngle","GHP_RotDiff_signed","GHP_RotDiff"
"1",1,0,1010,1,1,"False","False","2021-06-07 09:34:30.838017225","2021-06-07 09:35:20.616043806",49.7780265808105,2,0,155.578826904297,8.3622522354126,127.741188049316,0.452396899461746,-0.137866258621215,-42.3772277832031,132.779266357422,0.000019216329746,0.651104807853698,45.2274322509766,0,-0.99999588727951,152.871826171875,0,0.585325121879577,155.308944702148,333.730407714844,-0.390574723482131,0.442595541477203,0.807193040847778,334.179138183594,358.401000976562,-0.524287939071655,-41.7903137207031,0,-0.810798645019531,144.174041748047,0,-0.180148482322692,-7.25126647949219,0,-0.002871036529541,269.835510253906,0,-366.848327636719,352.797027587891,-0.000000335388222083566,-0.75898790359497,139.375045776367,-0.000007113092124,-1.08327293395996,29.1151313781738,0,"TaskBuilding_3","TaskBuilding_3",2,-4.79899597167969,74.8554000854492,35.0805282592773,41.557689666748,"[{'x': 0.8971533179283141, 'y': 0.20457375049591, 'z': -0.391491800546646}, {'x': -0.390574723482131, 'y': 0.44259554147720304, 'z': 0.8071930408477781}]","Control","GHP",8.13289190983402,-8.13289190983404,-4.79899597167969,4.79899597167969
"2",2,1,1010,2,1,"False","False","2021-06-07 09:35:20.882395506","2021-06-07 09:36:41.033951998",80.1515564918518,2,0,155.539764404297,359.490447998047,356.477478027344,357.599975585938,-0.116888046264648,-42.2760467529297,151.605972290039,0.000002352722276,-0.64675760269165,152.871826171875,0,0.585325121879577,-5.49641418457031,0,0.585325121879577,154.982849121094,332.981201171875,-0.889365255832672,0.454282879829406,0.051541842520236,273.316772460938,1.5931339263916,-0.414995670318603,-42.2660522460938,0,-0.810798645019531,144.174041748047,0,1.2413467168808,37.9724884033203,0,-0.810798645019531,144.174041748047,0,-0.180148482322692,-7.25126647949219,-0.0000000410627478686365,0.762695550918579,319.702423095703,0.000006412190032,-5.04666137695312,-144.83283996582,2,"TaskBuilding_21","TaskBuilding_21",20,175.528381347656,102.762969970703,179.895477294922,241.119232177734,"[{'x': -0.8893652558326721, 'y': 0.454282879829406, 'z': 0.051541842520236004}]","Control","GHP",91.1201526700912,91.1201526700912,175.528381347656,175.528381347656
"3",3,2,1010,3,1,"False","False","2021-06-07 09:36:41.300799608","2021-06-07 09:37:29.810555458",48.5097558498383,2,0,155.475341796875,358.910491943359,292.728759765625,1.4754980802536,-0.117977857589721,-42.2748565673828,172.500091552734,0.000006085543191,-0.633002042770385,-5.49641418457031,0,0.585325121879577,196.509170532227,0,-0.712816894054412,156.043594360352,334.902069091797,0.687194883823394,0.424166500568389,0.589784681797027,49.3621711730957,358.204284667969,-0.463101029396057,-42.1027679443359,0,0.701350152492523,314.535430908203,0,-0.531983017921447,-28.2334442138672,0,-0.810798645019531,144.174041748047,0,1.2413467168808,37.9724884033203,-0.000000106212752370993,0.774150133132934,320.72802734375,0.000006893619683,-1.50027942657471,-12.2371349334717,1,"TaskBuilding_17","TaskBuilding_17",16,6.19259643554688,34.4401664733887,43.3182334899902,28.8661632537842,"[{'x': 0.687194883823394, 'y': 0.42416650056838906, 'z': 0.589784681797027}]","Control","GHP",19.818519131048,19.818519131048,6.19259643554688,6.19259643554688
"4",4,3,1010,4,1,"False","False","2021-06-07 09:37:30.079387426","2021-06-07 09:38:37.080506325",67.0011188983917,2,0,155.520401000977,356.323364257812,63.4568367004395,4.71687412261963,-0.108268618583679,-42.2486572265625,71.6525268554688,0.000017861588275,-0.675315201282501,196.509170532227,0,-0.712816894054412,14.2378692626953,0,0.559212207794189,155.293273925781,336.019775390625,-0.286703467369079,0.406421244144439,-0.867538571357727,198.287643432617,4.29622888565063,-0.483195543289184,-42.7904815673828,0,0.82902455329895,34.0013313293457,0,-4.43709468841553,-195.41552734375,0,0.701350152492523,314.535430908203,0,-0.531983017921447,-28.2334442138672,-0.000000311743519887386,-0.737529277801513,222.478637695312,0.000010606126124,-2.82239532470703,-48.3218231201172,3,"TaskBuilding_28","TaskBuilding_28",27,188.477310180664,84.098518371582,208.430572509766,157.910125732422,"[{'x': -0.28670346736907903, 'y': 0.40642124414443903, 'z': -0.867538571357727}]","Control","GHP",67.5705945950142,-67.5705945950142,-171.522689819336,171.522689819336
"5",5,4,1010,5,5,"False","False","2021-06-07 09:38:38.237176418","2021-06-07 09:39:38.375644207",60.1384677886963,2,0,2.40597534179688,0.247154802083969,217.209518432617,2.74268770217896,2.09039545059204,41.5296859741211,87.6327209472656,0.000022325495592,0.667803168296814,14.2378692626953,0,0.559212207794189,159.405151367188,0,0.598590731620788,2.93519592285156,341.286010742188,0.910333156585693,0.320844203233718,0.26144340634346,73.9761734008789,15.2553081512451,1.65628242492676,41.6564178466797,0,-0.801054954528808,143.230972290039,0,0.029721200466156,6.306396484375,0,0.82902455329895,34.0013313293457,0,-4.43709468841553,-195.41552734375,-0.000000389653393995104,-0.744337916374206,138.102264404297,-0.000008547103789,-0.747417449951171,42.9197616577148,0,"TaskBuilding_26","TaskBuilding_26",25,-5.12870788574219,85.2013854980469,160.894943237305,80.5755844116211,"[{'x': 0.910333156585693, 'y': 0.32084420323371804, 'z': 0.26144340634346}]","Control","GHP",15.0893871890366,-15.0893871890366,-5.12870788574219,5.12870788574219
"6",6,5,1010,6,5,"False","False","2021-06-07 09:39:38.642988682","2021-06-07 09:40:59.670974731",81.0279860496521,2,0,2.49827575683594,0.662111461162567,102.23461151123,1.17635929584503,2.08483171463013,41.5433120727539,-36.1697082519531,0.000004805982371,0.927095413208007,159.405151367188,0,0.598590731620788,188.369445800781,0,0.330264240503311,2.86407470703125,339.14306640625,0.706136047840118,0.356035947799682,0.612054169178009,49.0823936462402,11.3291463851929,1.69499158859253,41.7866134643555,0,-0.943888545036315,160.715179443359,0,0.253917157649993,86.6479034423828,0,-0.801054954528808,143.230972290039,0,0.029721200466156,6.306396484375,-0.0000000838802165503694,0.374825477600097,67.9864730834961,-0.000013235230653,0.444427490234375,136.621490478516,2,"TaskBuilding_34","TaskBuilding_34",33,-92.7287063598633,102.486480712891,191.278167724609,230.033096313477,"[{'x': 0.7061360478401181, 'y': 0.356035947799682, 'z': 0.612054169178009}]","Control","GHP",71.2138068508297,71.2138068508297,-92.7287063598633,92.7287063598633
"7",7,6,1010,7,5,"False","False","2021-06-07 09:40:59.930878639","2021-06-07 09:41:52.521719217",52.5908405780792,2,0,2.49098205566406,358.938385009766,73.2521133422852,0.290880620479583,2.09421372413635,41.572135925293,32.9231147766113,0.000007087761787,-0.163820371031761,188.369445800781,0,0.330264240503311,24.1032257080078,0,-0.346916824579238,2.37944030761719,344.036285400391,-0.353841036558151,0.275028496980667,0.893955171108245,338.405578613281,25.8138198852539,1.81454038619995,42.0972442626953,0,0.937895894050598,339.701141357422,0,0.659838914871215,160.399780273438,0,-0.943888545036315,160.715179443359,0,0.253917157649993,86.6479034423828,-0.000000123704779753098,0.986490190029144,350.5712890625,0.000002842179583,-0.586318969726562,158.665298461914,1,"TaskBuilding_29","TaskBuilding_29",28,10.8701477050781,120.884689331055,120.668502807617,9.07478809356689,"[{'x': -0.353841036558151, 'y': 0.275028496980667, 'z': 0.8939551711082451}]","Control","GHP",36.1630867648104,-36.1630867648104,10.8701477050781,10.8701477050781
"8",8,7,1010,8,5,"False","False","2021-06-07 09:41:52.791046858","2021-06-07 09:43:13.410330772",80.619283914566,2,0,2.46780395507812,358.636688232422,15.4916372299194,1.66183710098267,2.09050369262695,41.6220703125,-72.7988357543945,0.000023583492293,0.396512001752853,24.1032257080078,0,-0.346916824579238,-111.659133911133,0,0.717765986919403,1.91595458984375,340.275329589844,-0.782097578048706,0.3375004529953,-0.523848235607147,236.18586730957,4.27882766723633,1.7780487537384,41.276969909668,0,-0.696284413337707,134.129653930664,0,2.42559051513672,22.3872451782227,0,0.937895894050598,339.701141357422,0,0.659838914871215,160.399780273438,-0.000000411609590855733,-0.91802954673767,156.639694213867,-0.000004003561571,0.727401733398437,53.8117218017578,3,"TaskBuilding_35","TaskBuilding_35",34,22.5100402832031,76.2191390991211,115.745544433594,50.0050430297852,"[{'x': -0.782097578048706, 'y': 0.3375004529953, 'z': -0.523848235607147}]","Control","GHP",43.0134833067182,-43.0134833067182,22.5100402832031,22.5100402832031
"9",9,8,1010,9,2,"False","False","2021-06-07 09:43:14.567497969","2021-06-07 09:44:06.500147342",51.9326493740082,3,1,-33.4110870361328,0.909978866577148,261.710754394531,359.435272216797,-2.75633668899536,-190.596160888672,-52.6894454956055,0.000016004989447,-0.653304815292358,-111.659133911133,0,0.717765986919403,-48.7736968994141,0,-0.589918494224548,-33.6525115966797,349.793334960938,-0.780085444450378,0.177199259400367,0.600055932998657,307.568145751953,14.6502637863159,-3.24134302139282,-190.169769287109,0,-0.807462811470031,216.151229858398,0,-2.5923535823822,-155.395538330078,0,-0.696284413337707,134.129653930664,0,2.42559051513672,22.3872451782227,-0.000000279339758435526,-0.757095098495483,220.791229248047,0.000005950808827,-3.52444458007812,-144.380813598633,2,"TaskBuilding_36","TaskBuilding_36",35,4.63999938964844,50.0160255432129,38.3815956115723,11.7271499633789,"[{'x': -0.7466163635253901, 'y': 0.186116188764572, 'z': 0.6386898756027221}, {'x': -0.7800854444503781, 'y': 0.17719925940036702, 'z': 0.600055932998657}]","Control","GHP",29.7887972062471,-29.7887972062471,4.63999938964844,4.63999938964844
"10",10,9,1010,10,2,"False","False","2021-06-07 09:44:06.764514923","2021-06-07 09:44:57.785020828",51.0205059051514,2,0,-33.3753204345703,358.849029541016,333.297210693359,1.19413900375366,-2.75784754753113,-190.565002441406,45.8665390014648,0,0,-48.7736968994141,0,-0.589918494224548,94.6965484619141,0,0.154957458376884,-33.1780548095703,339.060455322266,0.193880543112754,0.357382923364639,0.913612484931945,11.9811706542969,13.7509050369263,-3.11827349662781,-190.108215332031,0,0.987921118736267,8.91432952880859,0,-1.35128211975098,-38.6665191650391,0,-0.807462811470031,216.151229858398,0,-2.5923535823822,-155.395538330078,0,1,0,0,-4.68255615234375,-122.198310852051,0,"TaskBuilding_4","TaskBuilding_4",3,-8.91432952880859,104.596946716309,198.640487670898,96.8143997192383,"[{'x': 0.19388054311275402, 'y': 0.357382923364639, 'z': 0.913612484931945}]","Control","GHP",37.2325245089499,-37.2325245089499,-8.91432952880859,8.91432952880859
