"","X","SubjectID","TrialNumber","StartingPositionIndex","TimeOut","TimeOutStr","TimeStampBegin","TimeStampEnd","TrialDuration","TriggerPressedFreq","CancelPressedFreq","ParticipantPosition_x","ParticipantRotation_x","ParticipantRotation_y","ParticipantRotation_z","ParticipantPosition_y","ParticipantPosition_z","TargetHousePos_x","TargetHouseRot_x","TargetHouseDir_x","GhostHouseInitPos_x","GhostHouseInitRot_x","TGhostHouseInitDir_x","GhostHouseFinalPos_x","GhostHouseFinalRot_x","TGhostHouseFinalDir_x","PointerPosition_x","PointerRotation_x","PointerDirection_x","PointerDirection_y","PointerDirection_z","PointerRotation_y","PointerRotation_z","PointerPosition_y","PointerPosition_z","GhostHouseFinalDir_y","GhostHouseFinalDir_z","GhostHouseFinalRot_y","GhostHouseFinalRot_z","GhostHouseFinalPos_y","GhostHouseFinalPos_z","GhostHouseInitDir_y","GhostHouseInitDir_z","GhostHouseInitRot_y","GhostHouseInitRot_z","GhostHouseInitPos_y","GhostHouseInitPos_z","TargetHouseDir_y","TargetHouseDir_z","TargetHouseRot_y","TargetHouseRot_z","TargetHousePos_y","TargetHousePos_z","TargetHouseIndex","TargetHouseName","GhostHouseName","TargetHouseID","GhostHouseRotDifferenceToTargetHouse","ParticipantDistanceToTargetHouse","ParticipantDistanceToGhostHouse","GhostHouseDistanceToTargetHouse","PointedDirections","Condition","Task","RecalculatedAngle","SignedAngle"
"401",401,1022,10,5,"False","False","2021-05-05 17:00:07.609519958","2021-05-05 17:00:39.640168905",32.0306489467621,2,0,2.32081604003906,349.021179199219,324.02880859375,357.096862792969,2.02808356285095,41.6933746337891,32.9231147766113,0.000007087761787,-0.163820371031761,-48.8070220947266,0,0.468219816684722,53.4112854003906,0,0.468219816684722,2.23048400878906,329.945922851562,-0.064997620880603,0.500817239284515,0.863109171390533,355.693389892578,3.69121360778809,1.52322244644165,41.8896484375,0,-0.883612036705017,152.081192016602,0,-0.01181149482727,188.579147338867,0,-0.883612036705017,152.081192016602,0,2.09188270568848,119.111419677734,-0.000000123704779753098,0.986490190029144,350.5712890625,0.000002842179583,-0.586318969726562,158.665298461914,1,"TaskBuilding_29","TaskBuilding_29",28,198.490097045898,120.884689331055,155.479202270508,36.2620124816895,"[{'x': -0.064997620880603, 'y': 0.500817239284515, 'z': 0.8631091713905331}]","Control","GHP",18.9677800243915,-18.9677800243915
"402",402,1022,11,5,"False","False","2021-05-05 17:00:39.906521559","2021-05-05 17:01:14.712781429",34.8062598705292,2,0,2.42179870605469,349.931915283203,14.2190837860107,357.380493164062,2.01770710945129,41.6950225830078,-36.1697082519531,0.000004805982371,0.927095413208007,53.4112854003906,0,0.468219816684722,-40.0743865966797,0,0.37678375840187,2.0982666015625,337.113159179688,-0.595036923885345,0.388912200927734,0.703333735466003,319.768005371094,2.382652759552,1.50574135780334,41.8075408935547,0,-0.92630136013031,157.86540222168,0,1.54535126686096,183.251037597656,0,-0.883612036705017,152.081192016602,0,-0.01181149482727,188.579147338867,-0.0000000838802165503694,0.374825477600097,67.9864730834961,-0.000013235230653,0.444427490234375,136.621490478516,2,"TaskBuilding_34","TaskBuilding_34",33,-89.8789291381836,102.486480712891,147.813568115234,46.8056945800781,"[{'x': -0.595036923885345, 'y': 0.38891220092773404, 'z': 0.7033337354660031}]","Control","GHP",18.1082473981717,-18.1082473981717
"403",403,1022,12,5,"False","False","2021-05-05 17:01:14.980125189","2021-05-05 17:02:12.674277544",57.6941523551941,2,0,2.38162231445312,350.552459716797,342.035827636719,358.648101806641,2.01353669166565,41.677131652832,87.6327209472656,0.000022325495592,0.667803168296814,-40.0743865966797,0,0.37678375840187,-14.6915283203125,0,-0.221703052520751,2.58172607421875,330.428924560547,0.215813592076301,0.493503004312515,-0.842543482780456,165.632858276367,3.83591961860657,1.5108106136322,41.3641738891602,0,0.975114226341247,347.19091796875,0,-1.07540011405945,-67.6419982910156,0,-0.92630136013031,157.86540222168,0,1.54535126686096,183.251037597656,-0.000000389653393995104,-0.744337916374206,138.102264404297,-0.000008547103789,-0.747417449951171,42.9197616577148,0,"TaskBuilding_26","TaskBuilding_26",25,-209.088653564453,85.2013854980469,110.679443359375,150.646148681641,"[{'x': 0.21581359207630102, 'y': 0.49350300431251504, 'z': -0.8425434827804561}]","Control","GHP",76.4679390621737,76.4679390621737
"404",404,1022,13,2,"False","False","2021-05-05 17:02:13.833426952","2021-05-05 17:03:14.859703064",61.0262761116028,2,0,-33.4152374267578,349.3974609375,172.128997802734,355.536956787109,-2.83645820617676,-190.656982421875,-153.392501831055,0.000002242340542,0.506837248802185,-14.6915283203125,0,-0.221703052520751,60.3042755126953,0,0.011336236260831,-33.1184539794922,338.061096191406,0.887734174728393,0.373617708683013,0.268956840038299,73.1447601318359,13.8172874450684,-3.38213682174683,-190.418334960938,0,-0.999935865402221,179.350463867188,0,-5.25023221969604,-209.199188232422,0,0.975114226341247,347.19091796875,0,-1.07540011405945,-67.6419982910156,-0.0000000391362249274607,0.862041771411895,30.4533882141113,-0.000008238012924,-2.51432800292969,-202.649963378906,3,"TaskBuilding_45","TaskBuilding_45",44,-148.897079467773,120.669105529785,95.5074615478516,213.81462097168,"[{'x': 0.8877341747283931, 'y': 0.37361770868301303, 'z': 0.268956840038299}]","Control","GHP",168.853114128603,168.853114128603
"405",405,1022,14,2,"False","False","2021-05-05 17:03:15.126056433","2021-05-05 17:03:31.448899031",16.3228425979614,2,0,-33.2978668212891,352.600280761719,109.585182189941,357.070678710938,-2.83893036842346,-190.623657226562,-52.6894454956055,0.000016004989447,-0.653304815292358,60.3042755126953,0,0.011336236260831,-56.4467010498047,0,-0.385227262973785,-33.7442779541016,338.75537109375,-0.772494137287139,0.362350434064865,0.521493017673492,304.022369384766,16.5783634185791,-3.36859607696533,-190.501495361328,0,-0.922821879386901,202.657852172852,0,-2.50731015205383,-145.497802734375,0,-0.999935865402221,179.350463867188,0,-5.25023221969604,-209.199188232422,-0.000000279339758435526,-0.757095098495483,220.791229248047,0.000005950808827,-3.52444458007812,-144.380813598633,2,"TaskBuilding_36","TaskBuilding_36",35,18.1333770751953,50.0160255432129,50.6150894165039,4.04959201812744,"[{'x': -0.7724941372871391, 'y': 0.362350434064865, 'z': 0.521493017673492}]","Control","GHP",33.2272560862753,-33.2272560862753
"406",406,1022,15,2,"False","False","2021-05-05 17:03:31.715745926","2021-05-05 17:04:37.052257061",65.3365111351013,2,0,-33.4500274658203,347.756134033203,325.743682861328,357.269561767578,-2.83985710144043,-190.542938232422,-3.30635356903076,0.000002784431217,-0.744504272937774,-56.4467010498047,0,-0.385227262973785,-183.98176574707,0,-0.772079110145568,-33.7446746826172,332.242889404297,-0.883291184902191,0.465724170207977,0.053831979632377,273.487579345703,12.5316982269287,-3.36158275604248,-190.753997802734,0,-0.635526418685913,230.540954589844,0,1.57331347465515,-99.691162109375,0,-0.922821879386901,202.657852172852,0,-2.50731015205383,-145.497802734375,-0.0000000485975064634658,0.667617797851562,311.883483886719,0.000006236859462,-6.04534912109375,-256.052215576172,1,"TaskBuilding_32","TaskBuilding_32",31,81.342529296875,72.1300354003906,175.98503112793,239.061553955078,"[{'x': -0.883291184902191, 'y': 0.465724170207977, 'z': 0.05383197963237701}]","Control","GHP",118.196784579917,118.196784579917
"407",407,1022,16,2,"False","False","2021-05-05 17:04:37.319104433","2021-05-05 17:05:25.819908381",48.5008039474487,2,0,-33.4724273681641,349.348510742188,301.422912597656,351.955200195312,-2.83574485778809,-190.571441650391,45.8665390014648,0,0,-183.98176574707,0,-0.772079110145568,64.8750152587891,0,0.239445105195045,-33.3856658935547,332.536651611328,0.535737037658691,0.461180984973907,0.707317411899566,37.1410522460938,359.599365234375,-3.37249994277954,-190.261505126953,0,-0.97091007232666,166.146209716797,0,-3.81719875335693,-132.340728759766,0,-0.635526418685913,230.540954589844,0,1.57331347465515,-99.691162109375,0,1,0,0,-4.68255615234375,-122.198310852051,0,"TaskBuilding_4","TaskBuilding_4",3,-166.146209716797,104.596946716309,114.152923583984,21.5624599456787,"[{'x': 0.5357370376586911, 'y': 0.461180984973907, 'z': 0.7073174118995661}]","Control","GHP",12.1046784901016,-12.1046784901016
"408",408,1022,17,4,"False","False","2021-05-05 17:05:26.975586414","2021-05-05 17:06:38.808202028",71.8326156139374,2,0,110.722839355469,0.731899678707122,51.3803520202637,356.580902099609,0.023356795310974,197.010131835938,157.620819091797,0.00000297327324,0.783807098865509,64.8750152587891,0,0.239445105195045,180.148254394531,0,-0.261177659034729,110.913162231445,335.458984375,0.664666712284088,0.415344774723053,-0.621053099632263,133.057174682617,7.12990283966064,-0.519197821617126,196.748519897461,0,0.96529072523117,344.860046386719,0,0.37567138671875,19.1404266357422,0,-0.97091007232666,166.146209716797,0,-3.81719875335693,-132.340728759766,-0.0000000518934086812806,0.621004343032836,51.6104850769043,-0.000006149075488,-1.21954345703125,127.239501953125,1,"TaskBuilding_18","TaskBuilding_18",17,-293.249572753906,84.1277542114258,190.997909545898,110.432968139648,"[{'x': 0.664666712284088, 'y': 0.41534477472305303, 'z': -0.6210530996322631}]","Control","GHP",13.034862044956,-13.0348620449559
"409",409,1022,18,4,"False","False","2021-05-05 17:06:39.075545073","2021-05-05 17:07:20.499429464",41.4238843917847,2,0,110.653442382812,350.772277832031,152.628890991211,358.394744873047,0.019421577453613,196.829315185547,197.395660400391,0.000040967432141,0.143093660473823,180.148254394531,0,-0.261177659034729,202.479583740234,0,-0.261177659034729,110.799659729004,333.051635742188,0.61073362827301,0.453187465667724,0.649326980113983,43.2456855773926,3.35726690292358,-0.521180868148803,197.252029418945,0,0.96529072523117,344.860046386719,0,-1.86032104492188,235.646850585938,0,0.96529072523117,344.860046386719,0,0.37567138671875,19.1404266357422,-0.000000715016540198121,-0.989709019660949,171.773101806641,-0.000001662281988,-2.95098876953125,234.249404907227,0,"TaskBuilding_2","TaskBuilding_2",1,-173.086944580078,94.3921203613281,99.6066970825195,5.38411426544189,"[{'x': 0.61073362827301, 'y': 0.45318746566772405, 'z': 0.649326980113983}]","Control","GHP",23.4192293639842,-23.4192293639842
"410",410,1022,19,4,"False","False","2021-05-05 17:07:20.770245552","2021-05-05 17:07:52.210654259",31.440408706665,2,0,110.724784851074,353.526000976562,65.2386245727539,358.726470947266,0.02349030971527,196.959854125977,110.384757995605,0,0,202.479583740234,0,-0.261177659034729,276.71142578125,0,0.41318193078041,110.877578735352,336.400360107422,0.717348754405975,0.40034332871437,0.570207059383392,51.5194702148438,10.1923503875732,-0.540590286254882,197.204406738281,0,-0.910648584365844,155.595123291016,0,-2.79632568359375,231.246154785156,0,0.96529072523117,344.860046386719,0,-1.86032104492188,235.646850585938,0,1,0,0,-0.667289733886718,109.11808013916,2,"TaskBuilding_23","TaskBuilding_23",22,-155.595123291016,87.9258117675781,169.543365478516,206.359771728516,"[{'x': 0.717348754405975, 'y': 0.40034332871437, 'z': 0.570207059383392}]","Control","GHP",128.702314698502,-128.702314698502
