,SubjectID,TrialNumber,StartingPositionIndex,TimeOut,TimeOutStr,TimeStampBegin,TimeStampEnd,TrialDuration,TriggerPressedFreq,CancelPressedFreq,ParticipantPosition_x,ParticipantRotation_x,ParticipantRotation_y,ParticipantRotation_z,ParticipantPosition_y,ParticipantPosition_z,TargetHousePos_x,TargetHouseRot_x,TargetHouseDir_x,GhostHouseInitPos_x,GhostHouseInitRot_x,TGhostHouseInitDir_x,GhostHouseFinalPos_x,GhostHouseFinalRot_x,TGhostHouseFinalDir_x,PointerPosition_x,PointerRotation_x,PointerDirection_x,PointerDirection_y,PointerDirection_z,PointerRotation_y,PointerRotation_z,PointerPosition_y,PointerPosition_z,GhostHouseFinalDir_y,GhostHouseFinalDir_z,GhostHouseFinalRot_y,GhostHouseFinalRot_z,GhostHouseFinalPos_y,GhostHouseFinalPos_z,GhostHouseInitDir_y,GhostHouseInitDir_z,GhostHouseInitRot_y,GhostHouseInitRot_z,GhostHouseInitPos_y,GhostHouseInitPos_z,TargetHouseDir_y,TargetHouseDir_z,TargetHouseRot_y,TargetHouseRot_z,TargetHousePos_y,TargetHousePos_z,TargetHouseIndex,TargetHouseName,GhostHouseName,TargetHouseID,GhostHouseRotDifferenceToTargetHouse,ParticipantDistanceToTargetHouse,ParticipantDistanceToGhostHouse,GhostHouseDistanceToTargetHouse,PointedDirections,Condition,Task
0,1004,1,3,True,True,2021-05-03 16:43:01.806968320,2021-05-03 16:44:31.822900992,90.01593279838562,0,0,-114.22966003417969,359.2236022949219,122.70116424560547,359.5935974121094,0.083492636680603,-139.89678955078125,-134.4729766845703,90.0,2.9802322387695312e-08,44.518035888671875,89.98021697998047,0.0,19.113571166992188,90.0,0.0,192.95828247070312,25.461355209350586,0.878885805606842,-0.429902136325836,-0.206746026873588,103.23738861083984,7.994332790374756,-165.07608032226562,103.1256103515625,-1.0,-2.9802322387695312e-08,302.435302734375,0.0,-5.12628173828125,-172.87213134765625,-1.000000238418579,-1.788139343261718e-07,269.7063293457031,0.0,-366.84832763671875,350.3599548339844,-1.0,4.3213367462158203e-07,129.87550354003906,0.0,0.9746377468109131,-4.413402080535889,1,TaskBuilding_42,TaskBuilding_42,41,-172.55979919433594,136.64329528808594,137.58200073242188,228.04470825195312,"[{'x': 0.878885805606842, 'y': -0.429902136325836, 'z': -0.206746026873588}]",Control,GHP
1,1004,2,3,False,False,2021-05-03 16:44:32.100165120,2021-05-03 16:45:06.827554304,34.727389097213745,2,0,-114.20130920410156,358.85565185546875,99.04024505615234,0.05136127024888901,0.09949612617492601,-139.84066772460938,-69.55218505859375,2.4381604816000003e-05,0.7305085062980651,19.113571166992188,0.0,-0.8439974784851071,-82.53602600097656,0.0,-0.657963156700134,-114.04533386230469,358.9853515625,0.688944458961486,0.017707884311676,0.724597871303558,43.55514907836914,18.858701705932617,-0.459794044494628,-139.50814819335938,0.0,-0.7530503273010251,221.14471435546875,0.0,-1.565105676651001,-130.8787841796875,0.0,0.5363470315933221,302.435302734375,0.0,-4.12628173828125,-172.87213134765625,-4.255392695995397e-07,-0.6829036474227901,133.0709686279297,-1.2444954336e-05,-1.522850036621093,-66.10023498535156,0,TaskBuilding_39,TaskBuilding_39,38,-88.07374572753906,86.0090560913086,32.94303894042969,66.06695556640625,"[{'x': 0.878885805606842, 'y': -0.429902136325836, 'z': -0.206746026873588}, {'x': 0.688944458961486, 'y': 0.017707884311676, 'z': 0.724597871303558}]",Control,GHP
2,1004,3,3,False,False,2021-05-03 16:45:07.094402048,2021-05-03 16:45:39.768354304,32.67395234107971,2,0,-114.19535827636719,355.1576843261719,76.18218231201172,1.332160353660583,0.09278881549835201,-139.76907348632812,-133.8900604248047,4.487968453000001e-06,-0.7270070314407341,-82.53602600097656,0.0,-0.657963156700134,-78.93754577636719,0.0,-0.7065552473068231,-114.12254333496094,341.24627685546875,0.5916509032249451,0.321500718593597,0.739314913749694,38.66920852661133,14.58243179321289,-0.39019751548767,-139.5355224609375,0.0,-0.707657814025878,224.955322265625,0.0,-1.529279708862304,-124.7359619140625,0.0,-0.7530503273010251,221.14471435546875,0.0,-1.565105676651001,-130.8787841796875,-7.832982618083406e-08,0.6866299510002131,313.3639221191406,1.7843435670000002e-06,0.41481781005859303,-53.53443908691406,2,TaskBuilding_43,TaskBuilding_43,42,88.40859985351562,88.22444915771484,38.354652404785156,89.96229553222656,"[{'x': 0.5916509032249451, 'y': 0.321500718593597, 'z': 0.739314913749694}]",Control,GHP
3,1004,4,3,False,False,2021-05-03 16:45:40.035202048,2021-05-03 16:46:04.790526208,24.755324125289917,2,0,-114.20628356933594,357.5840148925781,64.32640075683594,358.7699890136719,0.075171589851379,-139.76199340820312,-273.2594299316406,2.4247665351000004e-05,-0.999782979488372,-78.93754577636719,0.0,-0.7065552473068231,-136.50961303710938,0.0,-0.44694796204566906,-114.59587097167969,348.4118957519531,-0.7444442510604851,0.200874701142311,0.636751294136047,310.5416259765625,12.515727043151855,-0.41833949089050204,-139.46063232421875,0.0,-0.8945599794387811,206.54803466796875,0.0,0.8478202223777771,-82.13174438476562,0.0,-0.707657814025878,224.955322265625,0.0,-1.529279708862304,-124.7359619140625,-4.2320158399888886e-07,-0.020830631256103002,268.806396484375,9.407296602000002e-06,-0.8280334472656251,-177.61767578125,3,TaskBuilding_53,TaskBuilding_53,52,62.25836181640625,163.43832397460938,61.59162521362305,166.79592895507812,"[{'x': -0.7444442510604851, 'y': 0.200874701142311, 'z': 0.636751294136047}]",Control,GHP
4,1004,5,6,False,False,2021-05-03 16:46:05.945212416,2021-05-03 16:46:44.660931072,38.7157187461853,2,0,-253.4962921142578,355.6418151855469,23.92314338684082,359.94024658203125,4.685739994049072,22.830177307128906,-189.70550537109375,270.0,-2.9802322387695312e-08,-136.50961303710938,270.0,0.0,-198.8423309326172,270.0,0.0,-253.23353576660156,332.14715576171875,0.8210672140121461,0.46720242500305104,-0.32797950506210305,111.77449798583984,12.188298225402832,4.217072010040283,22.539039611816406,1.000000119209289,-1.043081283569336e-07,308.02349853515625,0.0,2.858010530471801,-41.167938232421875,1.000000238418579,-1.974403858184814e-07,206.54803466796875,0.0,0.8478202223777771,-82.13174438476562,1.0,-2.384185791015625e-07,314.62286376953125,0.0,2.215898513793945,-22.110198974609375,2,TaskBuilding_47,TaskBuilding_47,46,6.599365234375,78.12166595458984,84.25765228271484,21.144533157348633,"[{'x': 0.8210672140121461, 'y': 0.46720242500305104, 'z': -0.32797950506210305}]",Control,GHP
5,1004,6,6,False,False,2021-05-03 16:46:44.927779328,2021-05-03 16:47:10.715774208,25.787994861602783,2,0,-253.48533630371094,355.666259765625,137.33932495117188,-0.0034238160587840003,4.6779093742370605,22.55377197265625,-166.05833435058594,1.1109343176e-05,-0.645549297332763,-198.8423309326172,0.0,-0.78775817155838,-161.9840545654297,0.0,-0.78775817155838,-253.45863342285156,336.5191650390625,0.141373306512832,0.398442476987838,0.906232416629791,8.866740226745605,16.979259490966797,4.200244903564453,23.06885528564453,0.0,0.6159846186637871,308.02349853515625,0.0,3.322357177734375,136.30447387695312,0.0,0.6159846186637871,308.02349853515625,0.0,2.858010530471801,-41.167938232421875,-1.938945786150725e-07,0.763718605041503,319.7931213378906,1.0480455785e-05,2.423095703125,137.74545288085938,0,TaskBuilding_6,TaskBuilding_6,5,11.769622802734375,144.3411102294922,145.72052001953125,4.4141645431518555,"[{'x': 0.141373306512832, 'y': 0.398442476987838, 'z': 0.906232416629791}]",Control,GHP
6,1004,7,6,False,False,2021-05-03 16:47:10.982621952,2021-05-03 16:47:54.142991104,43.16036915779114,2,0,-253.43846130371094,354.60125732421875,41.69700241088867,359.0361328125,4.6767497062683105,22.778038024902344,-334.5362854003906,1.7908081645e-05,-0.6687991023063661,-161.9840545654297,0.0,-0.78775817155838,-254.01234436035156,0.0,0.182327255606651,-253.6999053955078,345.0838317871094,-0.49804407358169506,0.257405400276184,0.8280667662620541,328.97503662109375,21.861141204833984,4.17792272567749,23.089500427246094,0.0,-0.9832379817962641,169.49465942382812,0.0,2.788217067718506,149.53305053710938,0.0,0.6159846186637871,308.02349853515625,0.0,3.322357177734375,136.30447387695312,-3.125549881133338e-07,-0.743443250656127,221.9744415283203,1.0527434824e-05,2.261275291442871,-4.953290939331055,3,TaskBuilding_55,TaskBuilding_55,54,52.47978210449219,85.67514038085938,126.6043930053711,174.2136993408203,"[{'x': -0.49804407358169506, 'y': 0.257405400276184, 'z': 0.8280667662620541}]",Control,GHP
7,1004,8,6,False,False,2021-05-03 16:47:54.406366464,2021-05-03 16:48:08.877641472,14.471274852752686,2,0,-253.52101135253906,354.3782653808594,0.56687718629837,0.10280341655015901,4.6773529052734375,22.842750549316406,-142.43019104003906,-5.623430183732125e-07,-0.7031954526901241,-254.01234436035156,0.0,0.182327255606651,-251.35447692871094,0.0,0.6167810559272761,-253.3673858642578,334.5317687988281,0.508729994297027,0.430010467767715,-0.7458451390266411,145.7026824951172,19.764223098754883,4.209610462188721,22.36518096923828,0.0,-0.7871350049972531,141.91856384277344,0.0,3.70367431640625,-7.267135620117187,0.0,-0.9832379817962641,169.49465942382812,0.0,2.788217067718506,149.53305053710938,9.8147374671953e-09,0.7109966278076171,315.3160705566406,7.615650702000001e-06,2.128200531005859,62.66016387939453,1,TaskBuilding_41,TaskBuilding_41,40,173.3975067138672,117.99417877197266,30.281097412109375,129.44808959960938,"[{'x': 0.508729994297027, 'y': 0.430010467767715, 'z': -0.7458451390266411}]",Control,GHP
8,1004,9,2,False,False,2021-05-03 16:48:10.036295424,2021-05-03 16:49:26.778297344,76.74200201034546,2,0,-33.40730285644531,358.5580139160156,182.63058471679688,358.66876220703125,-2.746111392974853,-190.89956665039062,-153.3925018310547,2.242340542e-06,0.5068372488021851,-251.35447692871094,0.0,0.6167810559272761,105.86949157714844,0.0,-0.8843743205070491,-33.03276062011719,346.52532958984375,0.8528145551681511,0.23301556706428503,0.46734473109245306,61.277130126953125,22.858890533447266,-3.245738506317138,-190.5595703125,0.0,0.466778337955474,297.82537841796875,0.0,-5.032318115234375,-196.53033447265625,0.0,-0.7871350049972531,141.91856384277344,0.0,3.70367431640625,-7.267135620117187,-3.913622492746071e-08,0.8620417714118951,30.453388214111328,-8.238012924000001e-06,-2.514328002929687,-202.64996337890625,3,TaskBuilding_45,TaskBuilding_45,44,-267.3719787597656,120.66910552978516,139.3519287109375,259.346435546875,"[{'x': 0.8528145551681511, 'y': 0.23301556706428503, 'z': 0.46734473109245306}]",Control,GHP
9,1004,10,2,False,False,2021-05-03 16:49:27.045143808,2021-05-03 16:49:43.225136128,16.179992198944092,2,0,-33.23081970214844,357.3055419921875,90.03179168701172,357.69482421875,-2.739988803863525,-190.777587890625,-52.68944549560547,1.6004989447e-05,-0.6533048152923581,105.86949157714844,0.0,-0.8843743205070491,36.81379699707031,0.0,-0.403609931468963,-33.05091857910156,353.75665283203125,0.746959269046783,0.108751386404037,0.6559153795242311,48.71317672729492,23.773487091064453,-3.266579627990722,-190.52926635742188,0.0,0.9149311780929561,336.1959533691406,0.0,-4.555546283721924,-178.78738403320312,0.0,0.466778337955474,297.82537841796875,0.0,-5.032318115234375,-196.53033447265625,-2.793397584355261e-07,-0.7570950984954831,220.79122924804688,5.950808827000001e-06,-3.524444580078125,-144.3808135986328,2,TaskBuilding_36,TaskBuilding_36,35,-115.40472412109375,50.01602554321289,71.13511657714844,95.89424133300781,"[{'x': 0.746959269046783, 'y': 0.108751386404037, 'z': 0.6559153795242311}]",Control,GHP
