,SubjectID,TrialNumber,StartingPositionIndex,ImageNumber,ImageName,TimeOut,TimeOutStr,TimeStampBegin,TimeStampEnd,TrialDuration,Angle,TriggerPressedFreq,CancelPressedFreq,PhotoToCenterFreq,ParticipantPosition_x,ParticipantPosition_y,ParticipantPosition_z,ParticipantPosition_x,ParticipantRotation_x,ParticipantRotation_y,ParticipantRotation_z,ParticipantPosition_y,PointerPosition_x,PointerPosition_y,PointerPosition_z,ParticipantPosition_z,PointerRotation_x,PointerRotation_y,PointerRotation_z,PointerDirection_x,PointerDirection_y,PointerDirection_z,ParticipantRotation_x,ParticipantRotation_y,TargetBuildingPosition_x,TargetBuildingPosition_y,TargetBuildingPosition_z,ParticipantRotation_z,TargetBuildingRotation_x,TargetBuildingRotation_y,TargetBuildingRotation_z,TargetBuildingDirection_x,TargetBuildingDirection_y,TargetBuildingDirection_z,PointerPosition_x,PointerPosition_y,PointerPosition_z,PointerRotation_x,PointerRotation_y,PointerRotation_z,PointerDirection_x,PointerDirection_y,PointerDirection_z,TargetBuildingName,TargetBuildingPosition_x,TargetBuildingPosition_y,TargetBuildingPosition_z,TargetBuildingRotation_x,TargetBuildingRotation_y,TargetBuildingRotation_z,TargetBuildingDirection_x,TargetBuildingDirection_y,TargetBuildingDirection_z,DistanceToParticipant,PointedDirections,TriggerPressedTimeStamps,CancelPressedTimeStamps,PhotoToCenterTimeStamps,PhotoReleasedTimeStamps,Condition,Task
0,1004,1,7,2,TaskBuilding_3,False,False,2021-05-03 15:48:35.646761984,2021-05-03 15:49:00.028102656,24.381340742111206,172.38900756835938,2,0,1,-291.98040771484375,3.420385360717773,-96.33096313476562,-291.98040771484375,5.130834102630615,123.77301788330078,0.895665526390075,3.420385360717773,-292.60333251953125,3.080135345458984,-96.24423217773438,-96.33096313476562,343.5365295410156,261.19085693359375,347.96295166015625,-0.9476882219314571,0.283403694629669,-0.14686457812786102,5.130834102630615,123.77301788330078,132.77926635742188,-1.083272933959961,29.115131378173828,0.895665526390075,1.9216329746000003e-05,139.3750457763672,-7.113092124e-06,0.6511048078536981,-3.353882220835658e-07,-0.75898790359497,-292.60333251953125,3.080135345458984,-96.24423217773438,343.5365295410156,261.19085693359375,347.96295166015625,-0.9476882219314571,0.283403694629669,-0.14686457812786102,TaskBuilding_3,132.77926635742188,-1.083272933959961,29.115131378173828,1.9216329746000003e-05,139.3750457763672,-7.113092124e-06,0.6511048078536981,-3.353882220835658e-07,-0.75898790359497,442.8914794921875,"[{'x': -0.9476882219314571, 'y': 0.283403694629669, 'z': -0.14686457812786102}]","[1620056939.0713198, 1620056940.0271113]",[],[1620056916.7334964],[],Control,PTB
1,1004,2,7,1,TaskBuilding_2,False,False,2021-05-03 15:49:00.293462528,2021-05-03 15:49:14.361489920,14.06802749633789,56.03365707397461,2,0,0,-292.3017578125,3.440964221954345,-96.22084045410156,-292.3017578125,357.2319030761719,258.7667541503906,0.0010710279457270002,3.440964221954345,-291.95355224609375,3.019435882568359,-95.82846069335938,-96.22084045410156,357.621337890625,359.9657287597656,342.9544372558594,-0.000597720965743,0.041503582149744006,0.9991381764411921,357.2319030761719,258.7667541503906,197.39566040039062,-2.95098876953125,234.24940490722656,0.0010710279457270002,4.0967432141e-05,171.77310180664062,-1.662281988e-06,0.14309366047382302,-7.150165401981212e-07,-0.989709019660949,-291.95355224609375,3.019435882568359,-95.82846069335938,357.621337890625,359.9657287597656,342.9544372558594,-0.000597720965743,0.041503582149744006,0.9991381764411921,TaskBuilding_2,197.39566040039062,-2.95098876953125,234.24940490722656,4.0967432141e-05,171.77310180664062,-1.662281988e-06,0.14309366047382302,-7.150165401981212e-07,-0.989709019660949,590.4529418945312,"[{'x': -0.000597720965743, 'y': 0.041503582149744006, 'z': 0.9991381764411921}]","[1620056953.4617472, 1620056954.36149]",[],[],[],Control,PTB
2,1004,3,7,0,TaskBuilding_1,False,False,2021-05-03 15:49:14.628337664,2021-05-03 15:49:27.322446848,12.694109201431274,10.757038116455078,2,0,1,-292.0341796875,3.443227767944336,-96.01954650878906,-292.0341796875,352.8341064453125,1.608547091484069,2.307320117950439,3.443227767944336,-291.74493408203125,3.009605884552002,-96.32832336425781,-96.01954650878906,356.530517578125,92.70616912841797,345.3406677246094,0.9970541000366211,0.060516916215419006,-0.047127440571784,352.8341064453125,1.608547091484069,255.06228637695312,-1.6630439758300781,-18.984481811523438,2.307320117950439,2.3328420866e-05,145.32583618164062,-5.493742719e-06,0.56890869140625,-4.0715775639910134e-07,-0.822400689125061,-291.74493408203125,3.009605884552002,-96.32832336425781,356.530517578125,92.70616912841797,345.3406677246094,0.9970541000366211,0.060516916215419006,-0.047127440571784,TaskBuilding_1,255.06228637695312,-1.6630439758300781,-18.984481811523438,2.3328420866e-05,145.32583618164062,-5.493742719e-06,0.56890869140625,-4.0715775639910134e-07,-0.822400689125061,552.5388793945312,"[{'x': 0.9970541000366211, 'y': 0.060516916215419006, 'z': -0.047127440571784}]","[1620056966.3800488, 1620056967.3224468]",[],[1620056957.6931171],[1620056957.404943],Control,PTB
3,1004,4,7,6,TaskBuilding_7,False,False,2021-05-03 15:49:27.588798464,2021-05-03 15:49:44.860485632,17.271687030792236,153.44737243652344,2,0,1,-291.93658447265625,3.434529781341552,-96.24992370605469,-291.93658447265625,358.7410583496094,97.82311248779297,0.141267284750938,3.434529781341552,-292.4384765625,3.038371086120605,-95.94708251953125,-96.24992370605469,351.6394958496094,281.251953125,342.1534729003906,-0.970355808734893,0.14540129899978602,0.193049922585487,358.7410583496094,97.82311248779297,-192.46141052246094,-0.9466400146484371,-173.51004028320312,0.141267284750938,-6.027028575e-06,27.461864471435547,-4.10935263e-06,0.46115812659263605,1.051914892968852e-07,0.8873179554939271,-292.4384765625,3.038371086120605,-95.94708251953125,351.6394958496094,281.251953125,342.1534729003906,-0.970355808734893,0.14540129899978602,0.193049922585487,TaskBuilding_7,-192.46141052246094,-0.9466400146484371,-173.51004028320312,-6.027028575e-06,27.461864471435547,-4.10935263e-06,0.46115812659263605,1.051914892968852e-07,0.8873179554939271,126.2889175415039,"[{'x': -0.970355808734893, 'y': 0.14540129899978602, 'z': 0.193049922585487}]","[1620056984.2171743, 1620056984.8604856]",[],[1620056968.977596],[1620056968.643789],Control,PTB
4,1004,5,7,4,TaskBuilding_5,False,False,2021-05-03 15:49:45.128325120,2021-05-03 15:49:58.907185152,13.778859853744507,62.26205062866211,2,0,1,-292.28466796875,3.436914920806884,-96.07015991210938,-292.28466796875,357.78631591796875,282.3062438964844,0.635148465633392,3.436914920806884,-291.91619873046875,2.961688041687011,-95.86148071289062,-96.07015991210938,358.7525329589844,2.545809745788574,345.8451843261719,0.044407621026039006,0.021770440042018002,0.9987762570381161,357.78631591796875,282.3062438964844,-15.720149993896484,0.160140991210937,34.060218811035156,0.635148465633392,5.061773208000001e-06,70.20909118652344,-1.3139530892e-05,0.9409344792366021,-8.834460629714158e-08,0.33858865499496404,-291.91619873046875,2.961688041687011,-95.86148071289062,358.7525329589844,2.545809745788574,345.8451843261719,0.044407621026039006,0.021770440042018002,0.9987762570381161,TaskBuilding_5,-15.720149993896484,0.160140991210937,34.060218811035156,5.061773208000001e-06,70.20909118652344,-1.3139530892e-05,0.9409344792366021,-8.834460629714158e-08,0.33858865499496404,305.41400146484375,"[{'x': 0.044407621026039006, 'y': 0.021770440042018002, 'z': 0.9987762570381161}]","[1620056998.263378, 1620056998.907185]",[],[1620056986.5607712],"[1620056986.2056355, 1620056993.9541364]",Control,PTB
5,1004,6,7,3,TaskBuilding_4,False,False,2021-05-03 15:49:59.174033152,2021-05-03 15:50:16.144151296,16.970118045806885,17.091657638549805,2,0,1,-292.02032470703125,3.431213855743408,-96.01582336425781,-292.02032470703125,359.7120666503906,9.944879531860352,1.697800517082214,3.431213855743408,-291.6934814453125,2.9819178581237793,-96.18345642089844,-96.01582336425781,356.1387939453125,77.31526184082031,343.2704162597656,0.9733785986900331,0.06733960658311801,0.21908792853355402,359.7120666503906,9.944879531860352,45.866539001464844,-4.68255615234375,-122.19831085205078,1.697800517082214,0.0,0.0,0.0,0.0,0.0,1.0,-291.6934814453125,2.9819178581237793,-96.18345642089844,356.1387939453125,77.31526184082031,343.2704162597656,0.9733785986900331,0.06733960658311801,0.21908792853355402,TaskBuilding_4,45.866539001464844,-4.68255615234375,-122.19831085205078,0.0,0.0,0.0,0.0,0.0,1.0,339.02838134765625,"[{'x': 0.9733785986900331, 'y': 0.06733960658311801, 'z': 0.21908792853355402}]","[1620057015.529609, 1620057016.1441512]",[],[1620056999.9294395],[],Control,PTB
6,1004,7,7,5,TaskBuilding_6,False,False,2021-05-03 15:50:16.410007552,2021-05-03 15:50:24.973931008,8.563923597335815,12.143918991088867,2,0,1,-291.92059326171875,3.427387237548828,-96.16349792480469,-291.92059326171875,358.8491516113281,65.96980285644531,0.8616803884506221,3.427387237548828,-291.78814697265625,3.045628547668457,-95.93141174316406,-96.16349792480469,358.8776550292969,40.42638397216797,324.9971618652344,0.6483461260795591,0.019587382674217002,0.761093735694885,358.8491516113281,65.96980285644531,-166.05833435058594,2.423095703125,137.74545288085938,0.8616803884506221,1.1109343176e-05,319.7931213378906,1.0480455785e-05,-0.645549297332763,-1.938945786150725e-07,0.763718605041503,-291.78814697265625,3.045628547668457,-95.93141174316406,358.8776550292969,40.42638397216797,324.9971618652344,0.6483461260795591,0.019587382674217002,0.761093735694885,TaskBuilding_6,-166.05833435058594,2.423095703125,137.74545288085938,1.1109343176e-05,319.7931213378906,1.0480455785e-05,-0.645549297332763,-1.938945786150725e-07,0.763718605041503,265.5007629394531,"[{'x': 0.6483461260795591, 'y': 0.019587382674217002, 'z': 0.761093735694885}]","[1620057024.3742678, 1620057024.973931]",[],[1620057017.4883103],[1620057016.9025352],Control,PTB
7,1004,8,2,3,TaskBuilding_4,False,False,2021-05-03 15:50:26.116713216,2021-05-03 15:50:45.443324928,19.326611757278442,157.31668090820312,2,0,1,140.5032501220703,1.033649444580078,16.201705932617188,140.5032501220703,2.458345651626587,22.90498161315918,2.521564245223999,1.033649444580078,140.5787353515625,0.49399232864379805,16.422119140625,16.201705932617188,0.10199563950300201,11.659456253051758,356.27423095703125,0.20209400355815801,-0.0017801588401190002,0.9793645143508911,2.458345651626587,22.90498161315918,45.866539001464844,-4.68255615234375,-122.19831085205078,2.521564245223999,0.0,0.0,0.0,0.0,0.0,1.0,140.5787353515625,0.49399232864379805,16.422119140625,0.10199563950300201,11.659456253051758,356.27423095703125,0.20209400355815801,-0.0017801588401190002,0.9793645143508911,TaskBuilding_4,45.866539001464844,-4.68255615234375,-122.19831085205078,0.0,0.0,0.0,0.0,0.0,1.0,167.7426300048828,"[{'x': 0.20209400355815801, 'y': -0.0017801588401190002, 'z': 0.9793645143508911}]","[1620057044.7657902, 1620057045.443325]",[],[1620057027.1072242],[],Control,PTB
8,1004,9,2,1,TaskBuilding_2,False,False,2021-05-03 15:50:45.709677312,2021-05-03 15:50:57.893898752,12.184221506118774,158.8426513671875,2,0,2,140.46029663085938,1.036835193634033,16.217742919921875,140.46029663085938,3.13630199432373,356.3027648925781,2.169110298156738,1.036835193634033,140.302001953125,0.511241436004638,15.652877807617188,16.217742919921875,358.1723327636719,173.48033142089844,352.74810791015625,0.11348651349544502,0.031893271952867,-0.9930276274681091,3.13630199432373,356.3027648925781,197.39566040039062,-2.95098876953125,234.24940490722656,2.169110298156738,4.0967432141e-05,171.77310180664062,-1.662281988e-06,0.14309366047382302,-7.150165401981212e-07,-0.989709019660949,140.302001953125,0.511241436004638,15.652877807617188,358.1723327636719,173.48033142089844,352.74810791015625,0.11348651349544502,0.031893271952867,-0.9930276274681091,TaskBuilding_2,197.39566040039062,-2.95098876953125,234.24940490722656,4.0967432141e-05,171.77310180664062,-1.662281988e-06,0.14309366047382302,-7.150165401981212e-07,-0.989709019660949,225.28919982910156,"[{'x': 0.11348651349544502, 'y': 0.031893271952867, 'z': -0.9930276274681091}]","[1620057057.361196, 1620057057.8938987]",[],"[1620057047.574634, 1620057055.7397742]","[1620057047.3310978, 1620057049.2535915]",Control,PTB
9,1004,10,2,0,TaskBuilding_1,False,False,2021-05-03 15:50:58.160746752,2021-05-03 15:51:05.090848768,6.9301018714904785,0.676374852657318,2,0,2,140.35142517089844,1.04429030418396,15.865020751953125,140.35142517089844,357.8831787109375,168.2841339111328,0.38262987136840804,1.04429030418396,140.71417236328125,0.5015044212341301,15.835952758789062,15.865020751953125,357.6842041015625,107.61251068115234,356.8187561035156,0.9523462057113641,0.040407408028841005,-0.30233091115951505,357.8831787109375,168.2841339111328,255.06228637695312,-1.6630439758300781,-18.984481811523438,0.38262987136840804,2.3328420866e-05,145.32583618164062,-5.493742719e-06,0.56890869140625,-4.0715775639910134e-07,-0.822400689125061,140.71417236328125,0.5015044212341301,15.835952758789062,357.6842041015625,107.61251068115234,356.8187561035156,0.9523462057113641,0.040407408028841005,-0.30233091115951505,TaskBuilding_1,255.06228637695312,-1.6630439758300781,-18.984481811523438,2.3328420866e-05,145.32583618164062,-5.493742719e-06,0.56890869140625,-4.0715775639910134e-07,-0.822400689125061,119.96437072753906,"[{'x': 0.9523462057113641, 'y': 0.040407408028841005, 'z': -0.30233091115951505}]","[1620057064.6136973, 1620057065.0908487]",[],"[1620057059.1825047, 1620057063.535891]","[1620057058.804059, 1620057061.181878]",Control,PTB
