,SubjectID,TrialNumber,StartingPositionIndex,TimeOut,TimeOutStr,TimeStampBegin,TimeStampEnd,TrialDuration,TheNorth,DeviationFromNorth,Angle,ForcedRotation_x,ForcedRotation_y,ForcedRotation_z,ForcedRotation_x,ForcedRotation_y,ForcedRotation_z,ParticipantPosition_x,ParticipantPosition_y,ParticipantPosition_z,ForcedRotation_x,ParticipantRotation_x,ParticipantRotation_y,ParticipantRotation_z,ForcedRotation_y,PointerPosition_x,PointerPosition_y,PointerPosition_z,ForcedRotation_z,PointerRotation_x,PointerRotation_y,PointerRotation_z,ParticipantPosition_x,PointerDirection_x,PointerDirection_y,PointerDirection_z,ParticipantPosition_y,ParticipantPosition_z,TriggerPressedFreq,ParticipantRotation_x,ParticipantRotation_y,ParticipantRotation_z,CancelPressedFreq,PointerPosition_x,PointerPosition_y,PointerPosition_z,PointerRotation_x,PointerRotation_y,PointerRotation_z,ParticipantPosition_x,PointerDirection_x,PointerDirection_y,PointerDirection_z,ParticipantPosition_y,ParticipantPosition_z,ParticipantRotation_x,ParticipantRotation_y,ParticipantRotation_z,PointerPosition_x,PointerPosition_y,PointerPosition_z,PointerRotation_x,PointerRotation_y,PointerRotation_z,PointerDirection_x,PointerDirection_y,PointerDirection_z,PointedDirections,TriggerPressedTimeStamps,CancelPressedTimeStamps,Condition,Task
0,1004,1,27,False,False,2021-05-03 15:59:47.519944448,2021-05-03 16:00:11.773812992,24.253868579864502,-230,90,149.54574584960938,0.0,220.0,0.0,0.0,220.0,0.0,54.03399658203125,-0.675411224365234,-60.874420166015625,0.0,3.620173215866089,180.49545288085938,0.094916529953479,220.0,53.92527770996094,-1.035826802253723,-60.190155029296875,0.0,358.18060302734375,340.4542541503906,331.56854248046875,54.03399658203125,-0.334390550851821,0.031749073415994006,0.9418996572494501,-0.675411224365234,-60.874420166015625,2,3.620173215866089,180.49545288085938,0.094916529953479,0,53.92527770996094,-1.035826802253723,-60.190155029296875,358.18060302734375,340.4542541503906,331.56854248046875,54.03399658203125,-0.334390550851821,0.031749073415994006,0.9418996572494501,-0.675411224365234,-60.874420166015625,3.620173215866089,180.49545288085938,0.094916529953479,53.92527770996094,-1.035826802253723,-60.190155029296875,358.18060302734375,340.4542541503906,331.56854248046875,-0.334390550851821,0.031749073415994006,0.9418996572494501,"[{'x': -0.334390550851821, 'y': 0.031749073415994006, 'z': 0.9418996572494501}]","[1620057611.19647, 1620057611.7733169]",[],Control,PTN
1,1004,2,28,False,False,2021-05-03 16:00:12.917091584,2021-05-03 16:00:22.203189760,9.28609824180603,-230,120,41.61974334716797,0.0,250.0,0.0,0.0,250.0,0.0,30.334426879882812,1.199099063873291,178.17098999023438,0.0,357.1946105957031,2.879992723464966,1.993954062461853,250.0,30.779388427734375,0.7492344379425041,177.92666625976562,0.0,359.8537292480469,88.38026428222656,346.22564697265625,30.334426879882812,0.999597132205963,0.002552665770053,0.028265856206417,1.199099063873291,178.17098999023438,2,357.1946105957031,2.879992723464966,1.993954062461853,0,30.779388427734375,0.7492344379425041,177.92666625976562,359.8537292480469,88.38026428222656,346.22564697265625,30.334426879882812,0.999597132205963,0.002552665770053,0.028265856206417,1.199099063873291,178.17098999023438,357.1946105957031,2.879992723464966,1.993954062461853,30.779388427734375,0.7492344379425041,177.92666625976562,359.8537292480469,88.38026428222656,346.22564697265625,0.999597132205963,0.002552665770053,0.028265856206417,"[{'x': 0.999597132205963, 'y': 0.002552665770053, 'z': 0.028265856206417}]","[1620057621.6035283, 1620057622.2031898]",[],Control,PTN
2,1004,3,38,False,False,2021-05-03 16:00:23.345971712,2021-05-03 16:00:30.909465088,7.563493251800537,-230,300,76.93924713134766,0.0,70.0,0.0,0.0,70.0,0.0,-58.08403015136719,0.40595006942749,-76.38063049316406,0.0,358.7283935546875,266.813720703125,0.41043576598167403,70.0,-57.43699645996094,-0.051601767539978007,-76.24557495117188,0.0,358.220947265625,53.06076431274414,341.1327209472656,-58.08403015136719,0.798888027667999,0.031045466661453,0.6006780266761781,0.40595006942749,-76.38063049316406,2,358.7283935546875,266.813720703125,0.41043576598167403,0,-57.43699645996094,-0.051601767539978007,-76.24557495117188,358.220947265625,53.06076431274414,341.1327209472656,-58.08403015136719,0.798888027667999,0.031045466661453,0.6006780266761781,0.40595006942749,-76.38063049316406,358.7283935546875,266.813720703125,0.41043576598167403,-57.43699645996094,-0.051601767539978007,-76.24557495117188,358.220947265625,53.06076431274414,341.1327209472656,0.798888027667999,0.031045466661453,0.6006780266761781,"[{'x': 0.798888027667999, 'y': 0.031045466661453, 'z': 0.6006780266761781}]","[1620057630.4982824, 1620057630.909465]",[],Control,PTN
3,1004,4,31,False,False,2021-05-03 16:00:32.053735424,2021-05-03 16:00:44.782069248,12.728333711624146,-230,180,145.6818084716797,0.0,310.0,0.0,0.0,310.0,0.0,-12.7845458984375,-3.915911197662353,-246.8167724609375,0.0,356.7867126464844,289.5389404296875,0.623242616653442,310.0,-13.0029296875,-4.3382887840271,-246.77169799804688,0.0,356.3560791015625,275.68182373046875,326.8074951171875,-12.7845458984375,-0.9930753707885741,0.063555315136909,0.09880356490612001,-3.915911197662353,-246.8167724609375,2,356.7867126464844,289.5389404296875,0.623242616653442,0,-13.0029296875,-4.3382887840271,-246.77169799804688,356.3560791015625,275.68182373046875,326.8074951171875,-12.7845458984375,-0.9930753707885741,0.063555315136909,0.09880356490612001,-3.915911197662353,-246.8167724609375,356.7867126464844,289.5389404296875,0.623242616653442,-13.0029296875,-4.3382887840271,-246.77169799804688,356.3560791015625,275.68182373046875,326.8074951171875,-0.9930753707885741,0.063555315136909,0.09880356490612001,"[{'x': -0.9930753707885741, 'y': 0.063555315136909, 'z': 0.09880356490612001}]","[1620057644.303927, 1620057644.7820692]",[],Control,PTN
4,1004,5,44,False,False,2021-05-03 16:00:45.924851200,2021-05-03 16:01:06.148726272,20.223875045776367,-230,225,143.20770263671875,0.0,355.0,0.0,0.0,355.0,0.0,-142.28160095214844,-0.319620370864868,-184.8424072265625,0.0,357.56304931640625,313.92724609375,1.3720563650131221,355.0,-142.14430236816406,-0.7554550170898431,-184.605712890625,0.0,358.4913330078125,346.79229736328125,324.6492004394531,-142.28160095214844,-0.22840242087841,0.026328042149543002,0.9732107520103451,-0.319620370864868,-184.8424072265625,2,357.56304931640625,313.92724609375,1.3720563650131221,0,-142.14430236816406,-0.7554550170898431,-184.605712890625,358.4913330078125,346.79229736328125,324.6492004394531,-142.28160095214844,-0.22840242087841,0.026328042149543002,0.9732107520103451,-0.319620370864868,-184.8424072265625,357.56304931640625,313.92724609375,1.3720563650131221,-142.14430236816406,-0.7554550170898431,-184.605712890625,358.4913330078125,346.79229736328125,324.6492004394531,-0.22840242087841,0.026328042149543002,0.9732107520103451,"[{'x': -0.22840242087841, 'y': 0.026328042149543002, 'z': 0.9732107520103451}]","[1620057665.6601663, 1620057666.1487262]",[],Control,PTN
5,1004,6,50,False,False,2021-05-03 16:01:07.292500224,2021-05-03 16:01:16.166919424,8.874419212341309,-230,315,38.7547607421875,0.0,85.0,0.0,0.0,85.0,0.0,-228.93324279785156,3.7199501991271973,190.17303466796875,0.0,358.6117858886719,69.53851318359375,2.302151918411255,85.0,-228.78050231933594,3.325162410736084,189.9255828857422,0.0,356.13250732421875,91.2452392578125,332.27655029296875,-228.93324279785156,0.9974873661994931,0.067449033260345,-0.021682515740394002,3.7199501991271973,190.17303466796875,2,358.6117858886719,69.53851318359375,2.302151918411255,0,-228.78050231933594,3.325162410736084,189.9255828857422,356.13250732421875,91.2452392578125,332.27655029296875,-228.93324279785156,0.9974873661994931,0.067449033260345,-0.021682515740394002,3.7199501991271973,190.17303466796875,358.6117858886719,69.53851318359375,2.302151918411255,-228.78050231933594,3.325162410736084,189.9255828857422,356.13250732421875,91.2452392578125,332.27655029296875,0.9974873661994931,0.067449033260345,-0.021682515740394002,"[{'x': 0.9974873661994931, 'y': 0.067449033260345, 'z': -0.021682515740394002}]","[1620057675.800376, 1620057676.1669195]",[],Control,PTN
6,1004,7,0,False,False,2021-05-03 16:01:17.309701632,2021-05-03 16:01:31.748736512,14.439034938812256,-230,45,123.47423553466797,0.0,175.0,0.0,0.0,175.0,0.0,266.77520751953125,0.070815920829772,-37.805938720703125,0.0,358.020751953125,188.33779907226562,0.9240415692329401,175.0,266.4360046386719,-0.34933090209960904,-37.69963073730469,0.0,358.6625061035156,253.4742431640625,324.0539855957031,266.77520751953125,-0.9584308862686151,0.023341625928878,-0.28436899185180603,0.070815920829772,-37.805938720703125,2,358.020751953125,188.33779907226562,0.9240415692329401,0,266.4360046386719,-0.34933090209960904,-37.69963073730469,358.6625061035156,253.4742431640625,324.0539855957031,266.77520751953125,-0.9584308862686151,0.023341625928878,-0.28436899185180603,0.070815920829772,-37.805938720703125,358.020751953125,188.33779907226562,0.9240415692329401,266.4360046386719,-0.34933090209960904,-37.69963073730469,358.6625061035156,253.4742431640625,324.0539855957031,-0.9584308862686151,0.023341625928878,-0.28436899185180603,"[{'x': -0.9584308862686151, 'y': 0.023341625928878, 'z': -0.28436899185180603}]","[1620057691.3598735, 1620057691.7487366]",[],Control,PTN
7,1004,8,46,False,False,2021-05-03 16:01:32.891518720,2021-05-03 16:01:52.007828736,19.116309881210327,-230,0,57.97774887084961,0.0,129.99998474121094,0.0,0.0,129.99998474121094,0.0,-205.38600158691406,4.096820831298828,-13.236953735351562,0.0,359.4544677734375,197.41641235351562,0.22960315644741003,129.99998474121094,-205.4092254638672,3.713869094848633,-13.459808349609375,0.0,358.09368896484375,187.97775268554688,318.16009521484375,-205.38600158691406,-0.138711780309677,0.033265057951211,-0.9897738695144651,4.096820831298828,-13.236953735351562,2,359.4544677734375,197.41641235351562,0.22960315644741003,0,-205.4092254638672,3.713869094848633,-13.459808349609375,358.09368896484375,187.97775268554688,318.16009521484375,-205.38600158691406,-0.138711780309677,0.033265057951211,-0.9897738695144651,4.096820831298828,-13.236953735351562,359.4544677734375,197.41641235351562,0.22960315644741003,-205.4092254638672,3.713869094848633,-13.459808349609375,358.09368896484375,187.97775268554688,318.16009521484375,-0.138711780309677,0.033265057951211,-0.9897738695144651,"[{'x': -0.138711780309677, 'y': 0.033265057951211, 'z': -0.9897738695144651}]","[1620057711.6194596, 1620057712.0078287]",[],Control,PTN
8,1004,9,19,False,False,2021-05-03 16:01:53.163505920,2021-05-03 16:02:02.946098944,9.782593011856079,-230,135,139.4500274658203,0.0,265.0,0.0,0.0,265.0,0.0,196.02459716796875,-1.120606184005737,-80.32383728027344,0.0,355.83734130859375,312.893310546875,359.880859375,265.0,195.7607421875,-1.551392674446106,-80.38916015625,0.0,0.514195501804351,269.4500732421875,323.387939453125,196.02459716796875,-0.9999138712882991,-0.008974313735961,-0.009597994387149,-1.120606184005737,-80.32383728027344,2,355.83734130859375,312.893310546875,359.880859375,0,195.7607421875,-1.551392674446106,-80.38916015625,0.514195501804351,269.4500732421875,323.387939453125,196.02459716796875,-0.9999138712882991,-0.008974313735961,-0.009597994387149,-1.120606184005737,-80.32383728027344,355.83734130859375,312.893310546875,359.880859375,195.7607421875,-1.551392674446106,-80.38916015625,0.514195501804351,269.4500732421875,323.387939453125,-0.9999138712882991,-0.008974313735961,-0.009597994387149,"[{'x': -0.9999138712882991, 'y': -0.008974313735961, 'z': -0.009597994387149}]","[1620057722.6127877, 1620057722.946099]",[],Control,PTN
9,1004,10,20,False,False,2021-05-03 16:02:04.089874176,2021-05-03 16:02:16.085616384,11.995742082595825,-230,240,101.42937469482422,0.0,9.999999046325684,0.0,0.0,9.999999046325684,0.0,138.61508178710938,-2.686645030975342,-128.38800048828125,0.0,358.0616149902344,3.193136215209961,3.281957387924194,9.999999046325684,138.1310577392578,-3.121973037719726,-128.69302368164062,0.0,359.2871398925781,231.42938232421875,326.5947570800781,138.61508178710938,-0.781779766082763,0.012441381812095,-0.6234304904937741,-2.686645030975342,-128.38800048828125,2,358.0616149902344,3.193136215209961,3.281957387924194,0,138.1310577392578,-3.121973037719726,-128.69302368164062,359.2871398925781,231.42938232421875,326.5947570800781,138.61508178710938,-0.781779766082763,0.012441381812095,-0.6234304904937741,-2.686645030975342,-128.38800048828125,358.0616149902344,3.193136215209961,3.281957387924194,138.1310577392578,-3.121973037719726,-128.69302368164062,359.2871398925781,231.42938232421875,326.5947570800781,-0.781779766082763,0.012441381812095,-0.6234304904937741,"[{'x': -0.781779766082763, 'y': 0.012441381812095, 'z': -0.6234304904937741}]","[1620057735.6858404, 1620057736.0856164]",[],Control,PTN
