"","X","SubjectID","TrialNumber","StartingPositionIndex","TimeOut","TimeOutStr","TimeStampBegin","TimeStampEnd","TrialDuration","TheNorth","DeviationFromNorth","Angle","ForcedRotation_x","ForcedRotation_y","ForcedRotation_z","ForcedRotation_x.1","ForcedRotation_y.1","ForcedRotation_z.1","ParticipantPosition_x","ParticipantPosition_y","ParticipantPosition_z","ForcedRotation_x.2","ParticipantRotation_x","ParticipantRotation_y","ParticipantRotation_z","ForcedRotation_y.2","PointerPosition_x","PointerPosition_y","PointerPosition_z","ForcedRotation_z.2","PointerRotation_x","PointerRotation_y","PointerRotation_z","ParticipantPosition_x.1","PointerDirection_x","PointerDirection_y","PointerDirection_z","ParticipantPosition_y.1","ParticipantPosition_z.1","TriggerPressedFreq","ParticipantRotation_x.1","ParticipantRotation_y.1","ParticipantRotation_z.1","CancelPressedFreq","PointerPosition_x.1","PointerPosition_y.1","PointerPosition_z.1","PointerRotation_x.1","PointerRotation_y.1","PointerRotation_z.1","ParticipantPosition_x.2","PointerDirection_x.1","PointerDirection_y.1","PointerDirection_z.1","ParticipantPosition_y.2","ParticipantPosition_z.2","ParticipantRotation_x.2","ParticipantRotation_y.2","ParticipantRotation_z.2","PointerPosition_x.2","PointerPosition_y.2","PointerPosition_z.2","PointerRotation_x.2","PointerRotation_y.2","PointerRotation_z.2","PointerDirection_x.2","PointerDirection_y.2","PointerDirection_z.2","PointedDirections","TriggerPressedTimeStamps","CancelPressedTimeStamps","Condition","Task","RecalculatedAngle","SignedAngle","UnityAngle","rounded_ctrl_Angle","rounded_ctrl_recalcAngle"
"1",0,1004,1,27,"False","False","2021-05-03 15:59:47.519944448","2021-05-03 16:00:11.773812992",24.2538685798645,-230,90,149.545745849609,0,220,0,0,220,0,54.0339965820312,-0.675411224365234,-60.8744201660156,0,3.62017321586609,180.495452880859,0.094916529953479,220,53.9252777099609,-1.03582680225372,-60.1901550292969,0,358.180603027344,340.454254150391,331.568542480469,54.0339965820312,-0.334390550851821,0.031749073415994,0.94189965724945,-0.675411224365234,-60.8744201660156,2,3.62017321586609,180.495452880859,0.094916529953479,0,53.9252777099609,-1.03582680225372,-60.1901550292969,358.180603027344,340.454254150391,331.568542480469,54.0339965820312,-0.334390550851821,0.031749073415994,0.94189965724945,-0.675411224365234,-60.8744201660156,3.62017321586609,180.495452880859,0.094916529953479,53.9252777099609,-1.03582680225372,-60.1901550292969,358.180603027344,340.454254150391,331.568542480469,-0.334390550851821,0.031749073415994,0.94189965724945,"[{'x': -0.334390550851821, 'y': 0.031749073415994006, 'z': 0.9418996572494501}]","[1620057611.19647, 1620057611.7733169]","[]","Control","PTN",149.545735992837,-149.545735992837,149.545745849609,149.546,149.546
"2",1,1004,2,28,"False","False","2021-05-03 16:00:12.917091584","2021-05-03 16:00:22.203189760",9.28609824180603,-230,120,41.619743347168,0,250,0,0,250,0,30.3344268798828,1.19909906387329,178.170989990234,0,357.194610595703,2.87999272346497,1.99395406246185,250,30.7793884277344,0.749234437942504,177.926666259766,0,359.853729248047,88.3802642822266,346.225646972656,30.3344268798828,0.999597132205963,0.002552665770053,0.028265856206417,1.19909906387329,178.170989990234,2,357.194610595703,2.87999272346497,1.99395406246185,0,30.7793884277344,0.749234437942504,177.926666259766,359.853729248047,88.3802642822266,346.225646972656,30.3344268798828,0.999597132205963,0.002552665770053,0.028265856206417,1.19909906387329,178.170989990234,357.194610595703,2.87999272346497,1.99395406246185,30.7793884277344,0.749234437942504,177.926666259766,359.853729248047,88.3802642822266,346.225646972656,0.999597132205963,0.002552665770053,0.028265856206417,"[{'x': 0.999597132205963, 'y': 0.002552665770053, 'z': 0.028265856206417}]","[1620057621.6035283, 1620057622.2031898]","[]","Control","PTN",41.6197353551256,-41.6197353551256,41.619743347168,41.62,41.62
"3",2,1004,3,38,"False","False","2021-05-03 16:00:23.345971712","2021-05-03 16:00:30.909465088",7.56349325180054,-230,300,76.9392471313477,0,70,0,0,70,0,-58.0840301513672,0.40595006942749,-76.3806304931641,0,358.728393554688,266.813720703125,0.410435765981674,70,-57.4369964599609,-0.051601767539978,-76.2455749511719,0,358.220947265625,53.0607643127441,341.132720947266,-58.0840301513672,0.798888027667999,0.031045466661453,0.600678026676178,0.40595006942749,-76.3806304931641,2,358.728393554688,266.813720703125,0.410435765981674,0,-57.4369964599609,-0.051601767539978,-76.2455749511719,358.220947265625,53.0607643127441,341.132720947266,-58.0840301513672,0.798888027667999,0.031045466661453,0.600678026676178,0.40595006942749,-76.3806304931641,358.728393554688,266.813720703125,0.410435765981674,-57.4369964599609,-0.051601767539978,-76.2455749511719,358.220947265625,53.0607643127441,341.132720947266,0.798888027667999,0.031045466661453,0.600678026676178,"[{'x': 0.798888027667999, 'y': 0.031045466661453, 'z': 0.6006780266761781}]","[1620057630.4982824, 1620057630.909465]","[]","Control","PTN",76.9392363325922,-76.9392363325922,76.9392471313477,76.939,76.939
"4",3,1004,4,31,"False","False","2021-05-03 16:00:32.053735424","2021-05-03 16:00:44.782069248",12.7283337116241,-230,180,145.68180847168,0,310,0,0,310,0,-12.7845458984375,-3.91591119766235,-246.816772460938,0,356.786712646484,289.538940429688,0.623242616653442,310,-13.0029296875,-4.3382887840271,-246.771697998047,0,356.356079101562,275.681823730469,326.807495117188,-12.7845458984375,-0.993075370788574,0.063555315136909,0.09880356490612,-3.91591119766235,-246.816772460938,2,356.786712646484,289.538940429688,0.623242616653442,0,-13.0029296875,-4.3382887840271,-246.771697998047,356.356079101562,275.681823730469,326.807495117188,-12.7845458984375,-0.993075370788574,0.063555315136909,0.09880356490612,-3.91591119766235,-246.816772460938,356.786712646484,289.538940429688,0.623242616653442,-13.0029296875,-4.3382887840271,-246.771697998047,356.356079101562,275.681823730469,326.807495117188,-0.993075370788574,0.063555315136909,0.09880356490612,"[{'x': -0.9930753707885741, 'y': 0.063555315136909, 'z': 0.09880356490612001}]","[1620057644.303927, 1620057644.7820692]","[]","Control","PTN",145.681802757931,145.681802757931,145.68180847168,145.682,145.682
"5",4,1004,5,44,"False","False","2021-05-03 16:00:45.924851200","2021-05-03 16:01:06.148726272",20.2238750457764,-230,225,143.207702636719,0,355,0,0,355,0,-142.281600952148,-0.319620370864868,-184.842407226562,0,357.563049316406,313.92724609375,1.37205636501312,355,-142.144302368164,-0.755455017089843,-184.605712890625,0,358.491333007812,346.792297363281,324.649200439453,-142.281600952148,-0.22840242087841,0.026328042149543,0.973210752010345,-0.319620370864868,-184.842407226562,2,357.563049316406,313.92724609375,1.37205636501312,0,-142.144302368164,-0.755455017089843,-184.605712890625,358.491333007812,346.792297363281,324.649200439453,-142.281600952148,-0.22840242087841,0.026328042149543,0.973210752010345,-0.319620370864868,-184.842407226562,357.563049316406,313.92724609375,1.37205636501312,-142.144302368164,-0.755455017089843,-184.605712890625,358.491333007812,346.792297363281,324.649200439453,-0.22840242087841,0.026328042149543,0.973210752010345,"[{'x': -0.22840242087841, 'y': 0.026328042149543002, 'z': 0.9732107520103451}]","[1620057665.6601663, 1620057666.1487262]","[]","Control","PTN",143.207694987381,-143.207694987381,143.207702636719,143.208,143.208
"6",5,1004,6,50,"False","False","2021-05-03 16:01:07.292500224","2021-05-03 16:01:16.166919424",8.87441921234131,-230,315,38.7547607421875,0,85,0,0,85,0,-228.933242797852,3.7199501991272,190.173034667969,0,358.611785888672,69.5385131835938,2.30215191841125,85,-228.780502319336,3.32516241073608,189.925582885742,0,356.132507324219,91.2452392578125,332.276550292969,-228.933242797852,0.997487366199493,0.067449033260345,-0.021682515740394,3.7199501991272,190.173034667969,2,358.611785888672,69.5385131835938,2.30215191841125,0,-228.780502319336,3.32516241073608,189.925582885742,356.132507324219,91.2452392578125,332.276550292969,-228.933242797852,0.997487366199493,0.067449033260345,-0.021682515740394,3.7199501991272,190.173034667969,358.611785888672,69.5385131835938,2.30215191841125,-228.780502319336,3.32516241073608,189.925582885742,356.132507324219,91.2452392578125,332.276550292969,0.997487366199493,0.067449033260345,-0.021682515740394,"[{'x': 0.9974873661994931, 'y': 0.067449033260345, 'z': -0.021682515740394002}]","[1620057675.800376, 1620057676.1669195]","[]","Control","PTN",38.7547501125551,-38.7547501125551,38.7547607421875,38.755,38.755
"7",6,1004,7,0,"False","False","2021-05-03 16:01:17.309701632","2021-05-03 16:01:31.748736512",14.4390349388123,-230,45,123.474235534668,0,175,0,0,175,0,266.775207519531,0.070815920829772,-37.8059387207031,0,358.020751953125,188.337799072266,0.92404156923294,175,266.436004638672,-0.349330902099609,-37.6996307373047,0,358.662506103516,253.474243164062,324.053985595703,266.775207519531,-0.958430886268615,0.023341625928878,-0.284368991851806,0.070815920829772,-37.8059387207031,2,358.020751953125,188.337799072266,0.92404156923294,0,266.436004638672,-0.349330902099609,-37.6996307373047,358.662506103516,253.474243164062,324.053985595703,266.775207519531,-0.958430886268615,0.023341625928878,-0.284368991851806,0.070815920829772,-37.8059387207031,358.020751953125,188.337799072266,0.92404156923294,266.436004638672,-0.349330902099609,-37.6996307373047,358.662506103516,253.474243164062,324.053985595703,-0.958430886268615,0.023341625928878,-0.284368991851806,"[{'x': -0.9584308862686151, 'y': 0.023341625928878, 'z': -0.28436899185180603}]","[1620057691.3598735, 1620057691.7487366]","[]","Control","PTN",123.474237222917,123.474237222917,123.474235534668,123.474,123.474
"8",7,1004,8,46,"False","False","2021-05-03 16:01:32.891518720","2021-05-03 16:01:52.007828736",19.1163098812103,-230,0,57.9777488708496,0,129.999984741211,0,0,129.999984741211,0,-205.386001586914,4.09682083129883,-13.2369537353516,0,359.454467773438,197.416412353516,0.22960315644741,129.999984741211,-205.409225463867,3.71386909484863,-13.4598083496094,0,358.093688964844,187.977752685547,318.160095214844,-205.386001586914,-0.138711780309677,0.033265057951211,-0.989773869514465,4.09682083129883,-13.2369537353516,2,359.454467773438,197.416412353516,0.22960315644741,0,-205.409225463867,3.71386909484863,-13.4598083496094,358.093688964844,187.977752685547,318.160095214844,-205.386001586914,-0.138711780309677,0.033265057951211,-0.989773869514465,4.09682083129883,-13.2369537353516,359.454467773438,197.416412353516,0.22960315644741,-205.409225463867,3.71386909484863,-13.4598083496094,358.093688964844,187.977752685547,318.160095214844,-0.138711780309677,0.033265057951211,-0.989773869514465,"[{'x': -0.138711780309677, 'y': 0.033265057951211, 'z': -0.9897738695144651}]","[1620057711.6194596, 1620057712.0078287]","[]","Control","PTN",57.9777539514203,57.9777539514203,57.9777488708496,57.978,57.978
"9",8,1004,9,19,"False","False","2021-05-03 16:01:53.163505920","2021-05-03 16:02:02.946098944",9.78259301185608,-230,135,139.45002746582,0,265,0,0,265,0,196.024597167969,-1.12060618400574,-80.3238372802734,0,355.837341308594,312.893310546875,359.880859375,265,195.7607421875,-1.55139267444611,-80.38916015625,0,0.514195501804351,269.450073242188,323.387939453125,196.024597167969,-0.999913871288299,-0.008974313735961,-0.009597994387149,-1.12060618400574,-80.3238372802734,2,355.837341308594,312.893310546875,359.880859375,0,195.7607421875,-1.55139267444611,-80.38916015625,0.514195501804351,269.450073242188,323.387939453125,196.024597167969,-0.999913871288299,-0.008974313735961,-0.009597994387149,-1.12060618400574,-80.3238372802734,355.837341308594,312.893310546875,359.880859375,195.7607421875,-1.55139267444611,-80.38916015625,0.514195501804351,269.450073242188,323.387939453125,-0.999913871288299,-0.008974313735961,-0.009597994387149,"[{'x': -0.9999138712882991, 'y': -0.008974313735961, 'z': -0.009597994387149}]","[1620057722.6127877, 1620057722.946099]","[]","Control","PTN",139.450044951487,139.450044951487,139.45002746582,139.45,139.45
"10",9,1004,10,20,"False","False","2021-05-03 16:02:04.089874176","2021-05-03 16:02:16.085616384",11.9957420825958,-230,240,101.429374694824,0,9.99999904632568,0,0,9.99999904632568,0,138.615081787109,-2.68664503097534,-128.388000488281,0,358.061614990234,3.19313621520996,3.28195738792419,9.99999904632568,138.131057739258,-3.12197303771973,-128.693023681641,0,359.287139892578,231.429382324219,326.594757080078,138.615081787109,-0.781779766082763,0.012441381812095,-0.623430490493774,-2.68664503097534,-128.388000488281,2,358.061614990234,3.19313621520996,3.28195738792419,0,138.131057739258,-3.12197303771973,-128.693023681641,359.287139892578,231.429382324219,326.594757080078,138.615081787109,-0.781779766082763,0.012441381812095,-0.623430490493774,-2.68664503097534,-128.388000488281,358.061614990234,3.19313621520996,3.28195738792419,138.131057739258,-3.12197303771973,-128.693023681641,359.287139892578,231.429382324219,326.594757080078,-0.781779766082763,0.012441381812095,-0.623430490493774,"[{'x': -0.781779766082763, 'y': 0.012441381812095, 'z': -0.6234304904937741}]","[1620057735.6858404, 1620057736.0856164]","[]","Control","PTN",101.429380900305,101.429380900305,101.429374694824,101.429,101.429
